"","Sensitivity","Specificity","F1","Balanced Accuracy"
"Class 1",98.8748241912799,99.4830659536542,97.4358974358974,99.178945072467
"Class 3",97.851819377466,99.4306930693069,98.4126984126984,98.6412562233865
"Class 4",98.5494880546075,99.2619926199262,97.6744186046512,98.9057403372668
"Class 5",94.5679012345679,99.6450304259635,94.6847960444994,97.1064658302657
"Class 6",97.3708920187793,99.7146118721461,97.9688238072744,98.5427519454627
"Class 9",98.3286908077994,99.7316336799732,96.978021978022,99.0301622438863
"Class Combined",91.4634146341463,99.7330218588353,93.167701863354,95.5982182464908
